ElementName,DataType,Size,Unit,Required,ElementDescription,ValueRange,Keywords,Notes,Section,Aliases
finaltaper,Integer,0,,Recommended,"Final Taper","0; -1",,"Select only if final taper contact to break the blind -Available only on Contact grid - not a value on CRF. 0=no, -1=yes","",""
ci_completed,Date,0,,Recommended,"Date Contact Completed","MM/yyyy;MM/dd/yyyy",,"Should be filled out once the contact is final. TS will close out contact when this date is entered. If participant missed visit, enter the date the visit was supposed to occur. Recoded as dat_completed in SAS data set","",""
tsrefusalcode,Integer,0,,Recommended,"TSRefusalCode","",,"Available only on Contact grid - not a value on CRF","",""
tss001q005id,Integer,0,,Recommended,"Acute Phase Unique Identified","",,"Available only in database - generated by the system","",""
tss001q006id,Integer,0,,Recommended,"Maintenance Phase Unique Identified","",,"Available only in database - generated by the system","",""
tss001q007id,Integer,0,,Recommended,"OPen Label Phase Unique Identified","",,"Available only in database - generated by the system","",""
form,Integer,0,,Recommended,"Phase","",,"Available only in database - generated by the system","",""
createdon,Date,0,,Recommended,"date tracking record created","mm/yyyy; mm/dd/yyyy",,"Available only in database - generated by the system","",""
cgiweek12,Integer,0,,Recommended,"CGI at Week 12","1; 2; 3; 4; 5; 6; 7",,"Complete before tracking WEEK 12 Contact. Required field. Available only on Contact grid - not a value on CRF - Part of RAND data set","",""
blindbroken,Integer,0,,Recommended,"Blind Broken","0; -1",,"Recorded by system, occurs at WEEK 12 contact or Final Taper contact. Available only on Contact grid - not a value on CRF - Part of RAND data set. 0=no, -1=yes.","",""
blindbrokenon,Date,0,,Recommended,"Date Blind Broken","mm/yyyy; mm/dd/yyyy",,"Autofilled by system. Available only on Contact grid - not a value on CRF - Part of RAND data set","",""
personnelidblindbrokenby,String,225,,Recommended,"Blind Broken by","",,"Autofilled by system. Available only on Contact grid - not a value on CRF - Part of RAND data set","",""
participantid,Integer,0,,Recommended,"Site","1; 2; 3; 4; 5; 6",,"Available only in database - generated by the system -Part of RAND data set","",""
randomized,Integer,0,,Recommended,"Randomized","0; 1; 3",,"Available only in database - generated by the system. Recoded in data set to Random2 - Part of RAND data set","",""
personnelidrandomizedby,String,225,,Recommended,"PersonnelIDrandomizedBy","",,"Available only in database - generated by system - Part of RAND data set","",""
standingid,Integer,0,,Recommended,"Study Standing d","2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12; 13; 14; 15; 16; 17; 18; 19; 20; 21",,"2=""OUT OF STUDY"" 3=""PHONE ELIGIBLE"" 4=""PHONE INELIGIBLE"" 5=""PHONE INITIATED"" 6=""PHONE REFUSED"" 7=""SCREENER INELIGIBLE"" 8=""SCREENER REFUSED"" 9=""STUDY COMPLETE"" 10=""PHONE PENDING"" 11=""WITHDRAW PENDING"" 12=""SCREENER PENDING"" 13=""INACTIVE"" 14=""STUDY COMPLETE-F"" 15=""INACTIVE-F"" 16=""INACTIVE-C"" 17=""PRE-PHONE REFUSED"" 18=""DENIED ENROLLMENT"" 19=""PRESCREENER REFUSED"" 20=""PRESCREENER INELIGIBLE"" 21=""LOST TO FOLLOW-UP","",""
randomizedon,Date,0,,Recommended,"Date Randomized","mm/yyyy; mm/dd/yyyy",,"Available only on Contact grid - not a value on CRF. Recoded in data set to rand_date - Part of RAND data set","",""
date_track,Integer,0,,Recommended,"Date created","",,"Available only on Contact grid - not a value on CRF -Part of RAND data set","",""
tss001q009id,Integer,0,,Recommended,"Unique ID for RAND tab in system","",,"Available only on Contact grid - not a value on CRF -Part of RAND data set","",""
pharmreceive,Integer,0,,Recommended,"Received by Pharmacy","0; 1",,"Available only on Contact grid - not a value on CRF -Part of RAND data set - Never used","",""
pharmreceiveon,Date,0,,Recommended,"Date Received by Pharmacy","mm/yyyy; mm/dd/yyyy",,"Available only on Contact grid - not a value on CRF -Part of RAND data set - Never used","",""
