ElementName,DataType,Size,Unit,Required,ElementDescription,ValueRange,Keywords,Notes,Section,Aliases
scoresumm_d_a8,Integer,0,,Recommended,"Conversation","",,"","Score Summary","Ados4_2001_scoresumm_a8"
scoresumm_d_a9,Integer,0,,Recommended,"Descriptive, Conventional, Instrumental Gestures","",,"","Score Summary","Ados4_2001_scoresumm_a9"
scoresumm_d_a10,Integer,0,,Recommended,"Emphatic or Emotional Gestures","",,"","Score Summary","Ados4_2001_scoresumm_a10"
scoresumm_atotal,Integer,0,,Recommended,"Communication Total","",,"","Score Summary","Ados4_2001_scoresumm_atotal"
scoresumm_d_b1,Integer,0,,Recommended,"Unusual Eye Contact","",,"","Score Summary","Ados4_2001_scoresumm_b1"
scoresumm_d_b2,Integer,0,,Recommended,"Facial Expressions Directed to Others","",,"","Score Summary","Ados4_2001_scoresumm_b2"
scoresumm_d_b6,Integer,0,,Recommended,"Empathy/Comments on Others' Emotions","",,"","Score Summary","Ados4_2001_scoresumm_b6"
scoresumm_d_b8,Integer,0,,Recommended,"Responsibility","",,"","Score Summary","Ados4_2001_scoresumm_b8"
scoresumm_d_b9,Integer,0,,Recommended,"Quality of Social Overtures","",,"","Score Summary","Ados4_2001_scoresumm_b9"
scoresumm_d_b10,Integer,0,,Recommended,"Quality of Social Response","",,"","Score Summary","Ados4_2001_scoresumm_b10"
scoresumm_d_b11,Integer,0,,Recommended,"Amount of Reciprocal Social Communication","",,"","Score Summary","Ados4_2001_scoresumm_b11"
scoresumm_btotal,Integer,0,,Recommended,"Social Interaction Total","",,"","Score Summary","Ados4_2001_scoresumm_btotal"
scoresumm_abtotal,Integer,0,,Recommended,"Communication + Social Total","",,"","Score Summary","Ados4_2001_scoresumm_abtotal"
scoresumm_d_c1,Integer,0,,Recommended,"Imagination/Creativity","",,"","Score Summary","Ados4_2001_scoresumm_c1"
scoresumm_d_d1,Integer,0,,Recommended,"Unusual Sensory Interest in Play Material/Person","",,"","Score Summary","Ados4_2001_scoresumm_d1"
scoresumm_d_d2,Integer,0,,Recommended,"Hand and Finger and Other Complex Mannerisms","",,"","Score Summary","Ados4_2001_scoresumm_d2"
scoresumm_d_d4,Integer,0,,Recommended,"Excessive Interest in Highly Specific Topics or Objects","",,"","Score Summary","Ados4_2001_scoresumm_d4"
scoresumm_d_d5,Integer,0,,Recommended,"Compulsions or Rituals","",,"","Score Summary","Ados4_2001_scoresumm_d5"
scoresumm_dtotal,Integer,0,,Recommended,"Stereotyped Behaviors and Restricted Interests Total","",,"","Score Summary","Ados4_2001_scoresumm_dtotal"
scoresumm_adosdiag,String,255,,Recommended,"ADOS Diagnosis Classification","",,"","Score Summary","Ados4_2001_scoresumm_adosdiag"
scoresumm_overalldiag,String,255,,Recommended,"Overall ADOS Diagnosis","",,"","Score Summary","Ados4_2001_scoresumm_overalldiag"
