ElementName,DataType,Size,Unit,Required,ElementDescription,ValueRange,Keywords,Notes,Section,Aliases
acqorlossoflang_aword_cmt,String,255,,Recommended,"Single words examples","",,"993= Had some words then lost and not yet regained
994= Milestone not reached
996= N/K but apparently normal
997= N/K but apparently delayed
999= N/K or not asked","Acquisition and Loss of Language / Other Skills","SPCH_SINGLE_WORD,ADI_2003_acqorlossoflang_aword_cmt"
acqorlossoflang_aphrase,Integer,0,,Recommended,"Age of first phrases (if ever used) - in months","0 to 900;993;994;996;997;999",,"","Acquisition and Loss of Language / Other Skills","ADI_R_Diagnostic_ADI_R_Raw_10a,PHRASE_AGE,WPS_ADI_Q10,ADI_2003_acqorlossoflang_aphrase,q_10_first_phrases_code"
acqorlossoflang_aphrase_cmt,String,255,,Recommended,"First phrases examples","",,"993= Had some phrases then lost; not yet regained
994= Milestone not reached
996= N/K but apparently normal
997= N/K but apparently delayed
999= N/K or not asked","Acquisition and Loss of Language / Other Skills","PHRASE,ADI_2003_acqorlossoflang_aphrase_cmt"
acqorlossoflang_loslang,Integer,0,,Recommended,"Loss of language skills after acquisition","0;1",,"0= No
1= Yes","Acquisition and Loss of Language / Other Skills","WPS_ADI_11E,ADI_R_Diagnostic_ADI_R_Raw_11,WPS_ADI_Q11E,LANG_LOSS,q_11_loss_of_language,ADI_2003_acqorlossoflang_loslang"
acqorlossoflang_levlang,Integer,0,,Recommended,"Level of communicative language before loss","0;1;2;3;8;9",,"0= Daily spontaneous and meaningful speech used communicatively
1= Occasional and/or fewer than five words used spontaneously and communicatively
2= Produced speech or sounds upon request
3= Spontaneous imitations of vocalization
8= No change or loss
9= N/K or not asked","Acquisition and Loss of Language / Other Skills","WPS_ADI_Q12E,ADI_R_Diagnostic_ADI_R_Raw_12,LANG_LOSS_LEVEL,ADI_2003_acqorlossoflang_levlang,q_12_level_before_loss_code"
acqorlossoflang_lossp,Integer,0,,Recommended,"Loss of spontaneous use of at least 5 meaningful words","0;1;2;8;9",,"0= No definite loss
1= Probable loss of specified skill
2= Definite loss of specified skill
8= Insufficient language to show change specified
9= N/K or not asked","Acquisition and Loss of Language / Other Skills","ADI_R_Diagnostic_ADI_R_Raw_13,LOSS_5_WORD,WPS_ADI_Q13E,ADI_2003_acqorlossoflang_lossp,q_13_loss_of_spontaneous_use_code"
acqorlossoflang_losword,Integer,0,,Recommended,"Loss of communicative intent","0;1;2;8;9",,"0= No definite loss
1= Probable loss of specified skill
2= Definite loss of specified skill
8= Insufficient language to show change specified
9= N/K or not asked","Acquisition and Loss of Language / Other Skills","ADI_R_Diagnostic_ADI_R_Raw_14,LOSS_COMMUN_INTENT,WPS_ADI_Q14E,ADI_2003_acqorlossoflang_losword,q_14_loss_of_intent_code"
acqorlossoflang_losssyn,Integer,0,,Recommended,"Loss of syntactical skills","0;1;2;8;9",,"0= No definite loss
1= Probable loss of specified skill
2= Definite loss of specified skill
8= Insufficient language to show change specified
9= N/K or not asked","Acquisition and Loss of Language / Other Skills","WPS_ADI_Q15E,ADI_R_Diagnostic_ADI_R_Raw_15,LOSS_GRAMMAR,ADI_2003_acqorlossoflang_losssyn,q_15_loss_of_syntactical_code"
acqorlossoflang_lossart,Integer,0,,Recommended,"Loss of Articulation","0;1;2;8;9",,"0= No definite loss
1= Probable loss of specified skill
2= Definite loss of specified skill
8= Insufficient language to show change specified
9= N/K or not asked","Acquisition and Loss of Language / Other Skills","WPS_ADI_Q16E,ADI_R_Diagnostic_ADI_R_Raw_16,LOSS_ARTICULATION,q_16_loss_of_articulation_code,ADI_2003_acqorlossoflang_lossart"
acqorlossoflang_aloslan,Integer,0,,Recommended,"Age when main loss of language skills first apparent (in months)","0 to 900;998;999",,"","Acquisition and Loss of Language / Other Skills","ADI_R_Diagnostic_ADI_R_Raw_17a,LANG_LOSS_MAIN_AGE,WPS_ADI_Q17,q_17_main_loss_apparent_code,ADI_2003_acqorlossoflang_aloslan"
acqorlossoflang_losphys,Integer,0,,Recommended,"Association of loss with physical illness","0;1;2;8;9",,"0= Loss of skills but no possibly relevant association with a definite physical illness
1= Loss associated with a definite illness
2= Loss associated with impaired consciousness/epileptic attacks
8= No loss of skills
9= N/K or not asked","Acquisition and Loss of Language / Other Skills","WPS_ADI_Q18E,LANG_LOSS_PHYS_ILL,q_18_loss_due_to_illness,ADI_2003_acqorlossoflang_losphys"
acqorlossoflang_losphys_cmt,String,255,,Optional,"Association of loss with physical illness - Comment","",,"","Acquisition and Loss of Language / Other Skills","ADI_R_Diagnostic_ADI_R_Raw_18,LANG_LOSS_PHYS_ILL_SPFY,ADI_2003_acqorlossoflang_losphys_cmt"
acqorlossoflang_losdurn,Integer,0,,Recommended,"Duration of loss of Language skills (in months)","0 to 900;993;994;998;999",,"","Acquisition and Loss of Language / Other Skills","ADI_R_Diagnostic_ADI_R_Raw_19a,LANG_LOSS_DURATION_MNTH,WPS_ADI_Q19,q_19_duration_of_loss_code,ADI_2003_acqorlossoflang_losdurn"
acqorlossoflang_elskil,Integer,0,,Recommended,"Loss of skills (for at least 3 months)","0;1;2;9",,"0= No consistent loss of skills
1= Probable loss of skill
2= Account of definite loss of skills
9= N/K or not asked","Acquisition and Loss of Language / Other Skills","WPS_ADI_Q20E,ADI_R_Diagnostic_ADI_R_Raw_20,SKILL_LOSS_GEN,ADI_2003_acqorlossoflang_elskil,q_20_loss_of_skills_code"
acqorlossoflang_elhand,Integer,0,,Recommended,"Purposive hand movements","0;1;2;9;8",,"0= None
1= Possible loss
2= Definite loss
8= N/A
9= N/K or not asked","Acquisition and Loss of Language / Other Skills","ADI_R_Diagnostic_ADI_R_Raw_21,SKILL_LOSS_HAND_MOVE,WPS_ADI_Q21E,q_21_puposive_hand_movements_code,ADI_2003_acqorlossoflang_elhand"
acqorlossoflang_elmotr,Integer,0,,Recommended,"Motor skills","0;1;2;8;9",,"0= None
1= Possible loss
2= Definite loss
8= N/A
9= N/K or not asked","Acquisition and Loss of Language / Other Skills","ADI_R_Diagnostic_ADI_R_Raw_22,SKILL_LOSS_MOTOR,WPS_ADI_Q22E,q_22_motor_skills_code,ADI_2003_acqorlossoflang_elmotr"
acqorlossoflang_losshlp,Integer,0,,Recommended,"Self help skills","0;1;2;8;9",,"0= None
1= Possible loss
2= Definite loss
8= N/A
9= N/K or not asked","Acquisition and Loss of Language / Other Skills","WPS_ADI_Q23E,ADI_R_Diagnostic_ADI_R_Raw_23,SKILL_LOSS_SELF_HELP,q_23_self_help_skills_code,ADI_2003_acqorlossoflang_losshlp"
acqorlossoflang_elplay,Integer,0,,Recommended,"Constructive or Imaginative play","0;1;2;8;9",,"0= None
1= Possible loss
2= Definite loss
8= N/A
9= N/K or not asked","Acquisition and Loss of Language / Other Skills","WPS_ADI_Q24E,ADI_R_Diagnostic_ADI_R_Raw_24,SKILL_LOSS_PLAY,ADI_2003_acqorlossoflang_elplay,q_24_constructive_play_code"
acqorlossoflang_elsoc,Integer,0,,Recommended,"Social engagement and responsiveness","0;1;2;8;9",,"0= None
1= Possible loss
2= Definite loss
8= N/A
9= N/K or not asked","Acquisition and Loss of Language / Other Skills","WPS_ADI_Q25E,ADI_R_Diagnostic_ADI_R_Raw_25,SKILL_LOSS_SOCIAL,q_25_social_engagement_code,ADI_2003_acqorlossoflang_elsoc"
acqorlossoflang_ageloss,Integer,0,,Recommended,"Age when main loss of skill first apparent (Code in months)","1 to 900;998;999",,"","Acquisition and Loss of Language / Other Skills","ADI_R_Diagnostic_ADI_R_Raw_26a,SKILL_LOSS_MAIN_AGE,WPS_ADI_Q26,ADI_2003_acqorlossoflang_ageloss,q_26_loss_first_apparent_code"
acqorlossoflang_elskph,Integer,0,,Recommended,"Association of loss with physical illness","0;1;2;8;9",,"0= Loss of skills not relevant to physical illness
1= Loss associated with definite illness
2= Loss associated with impaired consciousness/epileptic attacks
8= No loss of skills
9= N/K or not asked","Acquisition and Loss of Language / Other Skills","WPS_ADI_Q27E,ADI_R_Diagnostic_ADI_R_Raw_27,LOSS_SKILLS_PHYS_ILL,q_27_physical_illness_code,ADI_2003_acqorlossoflang_elskph"
acqorlossoflang_durdet,Integer,0,,Recommended,"Duration of loss of Skills (in months)","1 to 900;993;994;998;999",,"","Acquisition and Loss of Language / Other Skills","ADI_R_Diagnostic_ADI_R_Raw_28a,SKILL_LOSS_DURATION_MNTH,WPS_ADI_Q28,ADI_2003_acqorlossoflang_durdet,q_28_duration_of_loss_code"
funccom_ccompsl,Integer,0,,Recommended,"Comprehension of simple language - Current","0;1;2;3;4;8;9",,"0= In response to a request can usually perform an unexpected action/object
1= In response to a request can usually get an object
2= Understands many words
3= Understands fewer than 50 words
4= Little or no comprehension of words
8= N/A
9= N/K or not asked","Language and Communication Functioning","WPS_ADI_Q29C,COMPREHEND_SIMPLE_LANG,ADI_R_Diagnostic_ADI_R_Raw_29a,WPS_ADI_Q29,ADI_2003_funccom_ccompsl,q_29_compreh_simple_current"
funccom_compsl5,Integer,0,,Recommended,"Comprehension of simple language - Most Abnormal","0;1;2;3;4;8;9",,"0= In response to a request can usually perform an unexpected action/object
1= In response to a request can usually get an object
2= Understands many words
3= Understands fewer than 50 words
4= Little or no comprehension of words
8= N/A
9= N/K or not asked","Language and Communication Functioning","WPS_ADI_Q29MA,ADI_R_Diagnostic_ADI_R_Raw_29,COMPREHEND_SIMPLE_LANG_ABNRM,ADI_R_Diagnostic_ADI_R_Raw_29b,WPS_ADI_Q29E,ADI_2003_funccom_compsl5,q_29_compreh_simple_most_abnormal"
funccom_levell,Integer,0,,Recommended,"Overall level of language","0;1;2;9",,"0= Functional use of spontaneous echoed or stereotyped language
1= No functional use of three-word phrases in speech
2= Fewer than five words total or speech not used daily
9= N/K or not asked","Language and Communication Functioning","WPS_ADI_Q30,ADI_R_Diagnostic_ADI_R_Raw_30,WPS_ADI_Q30C,LANGUAGE_LEVEL,ADI_2003_funccom_levell,q_30_overall_level_of_language"
funccom_cusebod,Integer,0,,Recommended,"Use of other's body to communicate - Current","0;1;2;3;8;9",,"0= No use of other s body to communicate 1= Occasional placement of other s hand on objects or use of other s hand 2= Occasional placement of other s hand or use of other s hand without integration 3= Regular use of other s hand as a tool or to gesture "for" the child 8= Little or no spontaneous communication 9= N/K or not asked","Language and Communication Functioning","WPS_ADI_Q31,ADI_R_Diagnostic_ADI_R_Raw_31a,WPS_ADI_Q31C,COMMUNICATE_OTHR_BOD_CURR,ADI_2003_funccom_cusebod,q_31_use_of_oth_body_curr_code"
funccom_eusebod,Integer,0,,Recommended,"Use of other's body to communicate - Ever","0;1;2;3;8;9",,"","Language and Communication Functioning","WPS_ADI_Q31E,ADI_R_Diagnostic_ADI_R_Raw_31b,ADI_R_Diagnostic_ADI_R_Raw_31,COMMUNICATE_OTHR_BOD_EVER,q_31_use_of_others_body_ever_code,ADI_2003_funccom_eusebod"
funccom_cartic,Integer,0,,Recommended,"Articulation/pronunciation - Current","0;1;2;3;8;9",,"0= Understood by anybody
1= Understood better by family
2= Definite articulation difficulties
3= Strangers find speech almost impossible
8= N/A; no speech
9= N/K or not asked","Language and Communication Functioning","WPS_ADI_Q32,ADI_R_Diagnostic_ADI_R_Raw_32a,WPS_ADI_Q32C,ARTICULATION,q_32_artic_pronun_current_code,ADI_2003_funccom_cartic"
funccom_artic5,Integer,0,,Recommended,"Articulation/pronunciation - Age 5","0;1;2;3;8;9",,"0= Understood by anybody
1= Understood better by family
2= Definite articulation difficulties
3= Strangers find speech almost impossible
8= N/A; no speech
9= N/K or not asked","Language and Communication Functioning","WPS_ADI_Q32E,ADI_R_Diagnostic_ADI_R_Raw_32b,ADI_R_Diagnostic_ADI_R_Raw_32,WPS_ADI_Q32_5Y,ARTICULATION_5YR,ADI_2003_funccom_artic5,q_32_artic_pronun_5years_code"
funccom_cstereo,Integer,0,,Recommended,"Stereotyped utterances and delayed Echolalia - Current","0;1;2;3;8;9",,"0= Rarely or never uses stereotyped phrases
1= Speech tends/tended to be more repetitive
2= Often uses/used stereotyped utterances
3= Phrases are almost exclusively stereotyped utterances
8= N/A; no phrases
9= N/K or not asked","Language and Communication Functioning","WPS_ADI_Q33,ADI_R_Diagnostic_ADI_R_Raw_33a,WPS_ADI_Q33C,STEROTYPE_UTTERANCE,ADI_2003_funccom_cstereo,q_33_stereotyped_utterances_current_code"
funccom_estereo,Integer,0,,Recommended,"Stereotyped utterances and delayed Echolalia - Ever","0;1;2;3;8;9",,"0= Rarely or never uses stereotyped phrases
1= Speech tends/tended to be more repetitive
2= Often uses/used stereotyped utterances
3= Phrases are almost exclusively stereotyped utterances
8= N/A; no phrases
9= N/K or not asked","Language and Communication Functioning","WPS_ADI_Q33E,ADI_R_Diagnostic_ADI_R_Raw_33b,ADI_R_Diagnostic_ADI_R_Raw_33,STEROTYPE_UTTERANCE_EVER,ADI_2003_funccom_estereo,q_33_stereotyped_utterances_ever_code"
funccom_cchat,Integer,0,,Recommended,"Social vocalization/"Chat" - Current","0;1;2;8;9",,"0= Verbalizes or chats with clear social quality of talking
1= Some social use of speech in response to caregiver
2= Uses some speech to alert caregiver
8= N/A
9= N/K or not asked","Language and Communication Functioning","WPS_ADI_Q34,WPS_ADI_Q34C,SOCIAL_TALK,ADI_R_Diagnostic_ADI_R_Raw_34a,ADI_2003_funccom_cchat,q_34_social_verb_chat_current_code"
funccom_chat5,Integer,0,,Recommended,"Social vocalization/"Chat" - Ever","0;1;2;8;9",,"0= Verbalizes or chats with clear social quality of talking
1= Some social use of speech in response to caregiver
2= Uses some speech to alert caregiver
8= N/A
9= N/K or not asked","Language and Communication Functioning","WPS_ADI_Q34E,ADI_R_Diagnostic_ADI_R_Raw_34,SOCIAL_TALK_EVER,ADI_R_Diagnostic_ADI_R_Raw_34b,q_34_social_verb_chat_ever_code,ADI_2003_funccom_chat5"
funccom_cconver,Integer,0,,Recommended,"Reciprocal conversation (within subjects level of language) - Current","0;1;2;3;8;9",,"0= Conversation flows
1= Occasional reciprocal conversation
2= Little or no reciprocal conversation
3= Very little spontaneous speech
8= N/A
9= N/K or not asked","Language and Communication Functioning","WPS_ADI_Q35,ADI_R_Diagnostic_ADI_R_Raw_35a,WPS_ADI_Q35C,CONSERVA,q_35_recipr_convers_current_code,ADI_2003_funccom_cconver"
funccom_conver5,Integer,0,,Recommended,"Reciprocal conversation (within subjects level of language) - Ever (when verbal)","0;1;2;3;8;9",,"0= Conversation flows
1= Occasional reciprocal conversation
2= Little or no reciprocal conversation
3= Very little spontaneous speech
8= N/A
9= N/K or not asked","Language and Communication Functioning","ADI_R_Diagnostic_ADI_R_Raw_35b,ADI_R_Diagnostic_ADI_R_Raw_35,CONSERVA_EVER,WPS_ADI_Q35E,q_35_recipr_convers_ever_code,ADI_2003_funccom_conver5"
funccom_cinappq,Integer,0,,Recommended,"Inappropriate questions or statements - Current","0;1;2;8;9",,"0= No or very rare use of questions/statements
1= Use of some questions/statements
2= Frequent use of questions/statements
8= N/A
9= N/K or not asked","Language and Communication Functioning","WPS_ADI_Q36,ADI_R_Diagnostic_ADI_R_Raw_36a,WPS_ADI_Q36C,INAPPROPRIATE_STATEMENT,ADI_2003_funccom_cinappq,q_36_inappropriate_qs_current_code"
funccom_einappq,Integer,0,,Recommended,"Inappropriate questions or statements - Ever","0;1;2;8;9",,"0= No or very rare use of questions/statements
1= Use of some questions/statements
2= Frequent use of questions/statements
8= N/A
9= N/K or not asked","Language and Communication Functioning","ADI_R_Diagnostic_ADI_R_Raw_36b,ADI_R_Diagnostic_ADI_R_Raw_36,INAPPROPRIATE_STATEMENT_EVER,WPS_ADI_Q36E,q_36_inappropriate_qs_ever_code,ADI_2003_funccom_einappq"
funccom_inappq_cmt,String,255,,Optional,"Inappropriate questions or statements - Comment","",,"","Language and Communication Functioning","ADI_2003_funccom_inappq_cmt"
funccom_cpron,Integer,0,,Recommended,"Pronominal reversal - Current","0;1;2;3;7;8;9",,"","Language and Communication Functioning","WPS_ADI_Q37,ADI_R_Diagnostic_ADI_R_Raw_37a,WPS_ADI_Q37C,PRONOMINAL_REVERSAL,ADI_2003_funccom_cpron,q_37_prenominal_reversal_current_code"
funccom_epron,Integer,0,,Recommended,"Pronominal reversal - Ever","0;1;2;3;7;8;9",,"","Language and Communication Functioning","WPS_ADI_Q37E,ADI_R_Diagnostic_ADI_R_Raw_37b,ADI_R_Diagnostic_ADI_R_Raw_37,PRONOMINAL_REVERSAL_EVER,ADI_2003_funccom_epron,q_37_prenominal_reversal_ever_code"
funccom_pron_cmt,String,255,,Optional,"Pronominal reversal - Comment","",,"","Language and Communication Functioning","ADI_2003_funccom_pron_cmt"
funccom_cneoid,Integer,0,,Recommended,"Neologisms/Idiosyntric language - Current","0;1;2;8;9",,"0= No use of neologisms
1= Occasional use of neologisms
2= Regular use of neologisms
8= N/A
9= N/K or not asked","Language and Communication Functioning","WPS_ADI_Q38,ADI_R_Diagnostic_ADI_R_Raw_38a,WPS_ADI_Q38C,NEOLOGISM,q_38_neologisms_current_code,ADI_2003_funccom_cneoid"
funccom_eneoid,Integer,0,,Recommended,"Neologisms/Idiosyntric language - Ever","0;1;2;8;9",,"0= No use of neologisms
1= Occasional use of neologisms
2= Regular use of neologisms
8= N/A
9= N/K or not asked","Language and Communication Functioning","WPS_ADI_Q38E,ADI_R_Diagnostic_ADI_R_Raw_38b,ADI_R_Diagnostic_ADI_R_Raw_38,NEOLOGISM_EVER,ADI_2003_funccom_eneoid,q_38_neologisms_ever_code"
funccom_neoid_cmt,String,255,,Optional,"Neologisms/Idiosyntric language - Comment","",,"","Language and Communication Functioning","ADI_2003_funccom_neoid_cmt"
funccom_cverrit,Integer,0,,Recommended,"Verbal Rituals - Current","0;1;2;3;8;9",,"","Language and Communication Functioning","WPS_ADI_Q39,ADI_R_Diagnostic_ADI_R_Raw_39a,WPS_ADI_Q39C,VERBAL_RITUAL,ADI_2003_funccom_cverrit,q_39_verbal_rituals_current_code"
funccom_everrit,Integer,0,,Recommended,"Verbal Rituals - Ever","0;1;2;3;8;9",,"","Language and Communication Functioning","WPS_ADI_Q39E,ADI_R_Diagnostic_ADI_R_Raw_39b,ADI_R_Diagnostic_ADI_R_Raw_39,VERBAL_RITUAL_EVER,ADI_2003_funccom_everrit,q_39_verbal_rituals_ever_code"
funccom_verrit_cmt,String,255,,Optional,"Verbal Rituals - Comment","",,"","Language and Communication Functioning","ADI_2003_funccom_verrit_cmt"
funccom_cinr,Integer,0,,Recommended,"Intonation/Volume/Rhythm/Rate - Current","0;1;2;3;7;8;9",,"","Language and Communication Functioning","WPS_ADI_Q40,ADI_R_Diagnostic_ADI_R_Raw_40a,WPS_ADI_Q40C,INTONATION,q_40_inton_vol_rhythm_rate_current_code,ADI_2003_funccom_cinr"
funccom_einr,Integer,0,,Recommended,"Intonation/Volume/Rhythm/Rate - Ever","0;1;2;3;7;8;9",,"","Language and Communication Functioning","WPS_ADI_Q40E,ADI_R_Diagnostic_ADI_R_Raw_40b,ADI_R_Diagnostic_ADI_R_Raw_40,INTONATION_EVER,q_40_inton_vol_rhythm_rate_ever_code,ADI_2003_funccom_einr"
funccom_inr_cmt,String,255,,Optional,"Intonation/Volume/Rhythm/Rate - Comment","",,"","Language and Communication Functioning","ADI_2003_funccom_inr_cmt"
funccom_cspeech,Integer,0,,Recommended,"Current communicative speech - Current","0;1;2;3;8;9",,"","Language and Communication Functioning","WPS_ADI_Q41,ADI_R_Diagnostic_ADI_R_Raw_41a,WPS_ADI_Q41C,COMMUNICATE_SPCH,ADI_2003_funccom_cspeech,q_41_cur_comm_speech_current_code"
funccom_espeech,Integer,0,,Recommended,"Current communicative speech - Ever","0;1;2;3;8;9",,"","Language and Communication Functioning","ADI_R_Diagnostic_ADI_R_Raw_41b,ADI_R_Diagnostic_ADI_R_Raw_41,WPS_ADI_Q41_5Y,WPS_ADI_Q41E,ADI_2003_funccom_espeech,q_41_cur_comm_speech_at5_code"
funccom_speech_cmt,String,255,,Optional,"Current communicative speech - Comment","",,"","Language and Communication Functioning","ADI_2003_funccom_speech_cmt"
funccom_cpoint,Integer,0,,Recommended,"Pointing to express interest - Current","0;1;2;8;9",,"","Language and Communication Functioning","WPS_ADI_Q42,ADI_R_Diagnostic_ADI_R_Raw_42a,WPS_ADI_Q42C,CHILD_POINT_INTEREST,q_42_point_express_interest_current_code,ADI_2003_funccom_cpoint"
funccom_point5,Integer,0,,Recommended,"Pointing to express interest - Most Abnormal","0;1;2;8;9",,"","Language and Communication Functioning","ADI_R_Diagnostic_ADI_R_Raw_42b,WPS_ADI_Q42MA,ADI_R_Diagnostic_ADI_R_Raw_42,CHILD_POINT_INTEREST_5YR,WPS_ADI_Q42E,q_42_point_express_inter_most_abnormal_code,ADI_2003_funccom_point5"
funccom_cnod,Integer,0,,Recommended,"Nodding - Current","0;1;2;8;9",,"","Language and Communication Functioning","WPS_ADI_Q43,ADI_R_Diagnostic_ADI_R_Raw_43a,WPS_ADI_Q43C,NOD_HEAD_YES,ADI_2003_funccom_cnod,q_43_nodding_current_code"
funccom_nod5,Integer,0,,Recommended,"Nodding - Most Abnormal","0;1;2;8;9",,"","Language and Communication Functioning","WPS_ADI_Q43E,ADI_R_Diagnostic_ADI_R_Raw_43b,WPS_ADI_Q43MA,ADI_R_Diagnostic_ADI_R_Raw_43,NOD_HEAD_YES_ABNRM,q_43_nodding_most_abnormal_code,ADI_2003_funccom_nod5"
funccom_nod_cmt,String,255,,Optional,"Nodding - Comment","",,"","Language and Communication Functioning","ADI_2003_funccom_nod_cmt"
funccom_chshake,Integer,0,,Recommended,"Head shaking - Current","0;1;2;8;9",,"","Language and Communication Functioning","WPS_ADI_Q44,ADI_R_Diagnostic_ADI_R_Raw_44a,WPS_ADI_Q44C,SHAKE_NO,q_44_head_shaking_current_code,ADI_2003_funccom_chshake"
funccom_hshake5,Integer,0,,Recommended,"Head shaking - Most Abnormal","0;1;2;8;9",,"","Language and Communication Functioning","WPS_ADI_Q44E,ADI_R_Diagnostic_ADI_R_Raw_44b,WPS_ADI_Q44MA,ADI_R_Diagnostic_ADI_R_Raw_44,SHAKE_NO_ABNRM,q_44_head_shaking_most_abnormal_code,ADI_2003_funccom_hshake5"
funccom_hshake_cmt,String,255,,Optional,"Head shaking - Comment","",,"","Language and Communication Functioning","ADI_2003_funccom_hshake_cmt"
funccom_cinsges,Integer,0,,Recommended,"Conventional/Instrumental gestures - Current","0;1;2;3;8;9",,"","Language and Communication Functioning","WPS_ADI_Q45,ADI_R_Diagnostic_ADI_R_Raw_45a,WPS_ADI_Q45C,USE_GESTURE,ADI_2003_funccom_cinsges,q_45_conventional_instr_gests_current_code"
